split,image_id,method,perturbation,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error,gpu
stage1_train_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,clean,0.5,19.872,27,24,17,7,10,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.7260536719831433,0.838335824459207,-3,3,
stage1_train_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,clean,0.5,9.239,28,27,24,3,4,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9014175940338074,0.9450226973203724,-1,1,
stage1_train_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,clean,0.5,73.771,76,181,42,139,34,0.2320441988950276,0.5526315789473685,0.3268482490272373,0.7868195351230858,0.8733129288288237,105,105,
stage1_train_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,clean,0.5,9.088,16,19,14,5,2,0.7368421052631579,0.875,0.7999999999999999,0.8725120633896599,0.9276373412381664,3,3,
stage1_train_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,clean,0.5,14.466,23,40,12,28,11,0.3,0.5217391304347826,0.3809523809523809,0.7017835011985274,0.8160338522733851,17,17,
stage1_train_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,clean,0.5,15.948,12,87,0,87,12,0.0,0.0,0.0,0.0,0.0,75,75,
stage1_train_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,clean,0.5,393.408,136,698,23,675,113,0.0329512893982808,0.1691176470588235,0.0551558752997601,0.6113124847034471,0.7543975265926521,562,562,
stage1_train_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,clean,0.5,23.028,27,63,16,47,11,0.2539682539682539,0.5925925925925926,0.3555555555555555,0.8571859944379615,0.9173854214905894,36,36,
stage1_train_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,clean,0.5,8.324,15,13,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.9000250673721362,0.946750819082712,-2,2,
stage1_train_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,clean,0.5,9.312,35,35,34,1,1,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.8892040943589932,0.938252016774058,0,0,
stage1_train_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,clean,0.5,15.499,18,69,7,62,11,0.1014492753623188,0.3888888888888889,0.160919540229885,0.7355134412741829,0.8386231057890885,51,51,
stage1_train_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,clean,0.5,10.332,51,57,46,11,5,0.8070175438596491,0.9019607843137256,0.8518518518518519,0.8071625365241882,0.8883312304826455,6,6,
stage1_train_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,clean,0.5,21.749,26,60,11,49,15,0.1833333333333333,0.4230769230769231,0.255813953488372,0.7426577651153129,0.8479451886177973,34,34,
stage1_train_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,otsu_watershed,clean,0.5,13.658,84,109,38,71,46,0.3486238532110092,0.4523809523809524,0.3937823834196891,0.7032013920771598,0.822640934665399,25,25,
stage1_train_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,otsu_watershed,clean,0.5,11.917,9,37,4,33,5,0.1081081081081081,0.4444444444444444,0.1739130434782608,0.6868227169005194,0.8041602083272797,28,28,
