split,image_id,method,perturbation,iou_threshold,sam2_config,checkpoint,gpu,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,2480.373,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1813.554,28,14,6,8,22,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7079162455352693,0.8235882094487382,-14,14
stage1_train_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1472.849,76,73,70,3,6,0.958904109589041,0.9210526315789473,0.9395973154362416,0.8988227825577809,0.9452238157683586,-3,3
stage1_train_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1621.739,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1521.911,23,3,0,3,23,0.0,0.0,0.0,0.0,0.0,-20,20
stage1_train_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1542.39,12,9,4,5,8,0.4444444444444444,0.3333333333333333,0.380952380952381,0.8315379797581463,0.9060209835355346,-3,3
stage1_train_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1932.124,136,67,6,61,130,0.08955223880597014,0.04411764705882353,0.05911330049261085,0.6944691696309623,0.8140766588908382,-69,69
stage1_train_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1862.655,27,28,26,2,1,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9104305433691753,0.9498073762703101,1,1
stage1_train_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1629.958,15,15,12,3,3,0.8,0.8,0.8000000000000002,0.8456931798347518,0.9133430500880624,0,0
stage1_train_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1650.432,35,24,7,17,28,0.2916666666666667,0.2,0.23728813559322035,0.6780737663827175,0.8046133872958602,-11,11
stage1_train_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1555.382,18,10,4,6,14,0.4,0.2222222222222222,0.2857142857142857,0.9258550079829688,0.961361006495248,-8,8
stage1_train_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam2_amg,clean,0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,True,1719.939,51,1,0,1,51,0.0,0.0,0.0,0.0,0.0,-50,50
