split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,model_repo,model_code_commit,checkpoint,checkpoint_sha256,prompt,confidence_threshold,mask_threshold,processor_resolution,raw_mask_count,overlap_pixel_fraction,zero_prediction,gpu,peak_memory_mb,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,1779.657,27,0,0,0,27,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,839.528,28,0,0,0,28,0.0,0.0,0.0,0.0,0.0,-28,28
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,841.689,76,0,0,0,76,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,819.644,16,0,0,0,16,0.0,0.0,0.0,0.0,0.0,-16,16
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,832.464,23,0,0,0,23,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,828.761,12,0,0,0,12,0.0,0.0,0.0,0.0,0.0,-12,12
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,864.268,136,0,0,0,136,0.0,0.0,0.0,0.0,0.0,-136,136
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,837.172,27,0,0,0,27,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,839.143,15,0,0,0,15,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,831.184,35,0,0,0,35,0.0,0.0,0.0,0.0,0.0,-35,35
