split,image_id,image_path,height,width,channels,dtype,has_png_masks,mask_count,has_solution_rle,solution_rle_count
stage1_train,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,data/raw/dsb2018/stage1_train/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552/images/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,256,256,4,uint8,True,27,False,0
stage1_train,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,data/raw/dsb2018/stage1_train/003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1/images/003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,256,256,4,uint8,True,36,False,0
stage1_train,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,data/raw/dsb2018/stage1_train/00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e/images/00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,256,320,4,uint8,True,70,False,0
stage1_train,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,data/raw/dsb2018/stage1_train/0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed/images/0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,256,320,4,uint8,True,86,False,0
stage1_train,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,data/raw/dsb2018/stage1_train/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf/images/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,256,320,4,uint8,True,7,False,0
stage1_train,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,data/raw/dsb2018/stage1_train/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21/images/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,256,256,4,uint8,True,16,False,0
stage1_train,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,data/raw/dsb2018/stage1_train/0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426/images/0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,256,256,4,uint8,True,62,False,0
stage1_train,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,data/raw/dsb2018/stage1_train/02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339/images/02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,360,360,4,uint8,True,23,False,0
stage1_train,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,data/raw/dsb2018/stage1_train/03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776/images/03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,256,256,4,uint8,True,16,False,0
stage1_train,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,data/raw/dsb2018/stage1_train/03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe/images/03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,360,360,4,uint8,True,22,False,0
