split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,clean,0.6667,0.6667,0.0,0.0,0.7083,0.7083,0.0,0.6296,0.6296,0.0,3,3,0,27,24,7,10
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_noise,0.6667,0.5185,0.1481,0.2222,0.7083,0.5185,0.1898,0.6296,0.5185,0.1111,3,0,-3,27,27,13,13
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,poisson_noise,0.6667,0.7059,-0.0392,-0.0588,0.7083,0.75,-0.0417,0.6296,0.6667,-0.037,3,3,0,27,24,6,9
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_blur,0.6667,0.7347,-0.068,-0.102,0.7083,0.8182,-0.1098,0.6296,0.6667,-0.037,3,5,2,27,22,4,9
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,downsample_upsample,0.6667,0.72,-0.0533,-0.08,0.7083,0.7826,-0.0743,0.6296,0.6667,-0.037,3,4,1,27,23,5,9
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,intensity_scale,0.6667,0.6667,0.0,0.0,0.7083,0.7083,0.0,0.6296,0.6296,0.0,3,3,0,27,24,7,10
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,contrast_inversion,0.6667,0.7347,-0.068,-0.102,0.7083,0.8182,-0.1098,0.6296,0.6667,-0.037,3,5,2,27,22,4,9
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,clean,0.8727,0.8727,0.0,0.0,0.8889,0.8889,0.0,0.8571,0.8571,0.0,1,1,0,28,27,3,4
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,gaussian_noise,0.8727,0.8571,0.0156,0.0179,0.8889,0.8571,0.0317,0.8571,0.8571,0.0,1,0,-1,28,28,4,4
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,poisson_noise,0.8727,0.807,0.0657,0.0753,0.8889,0.7931,0.0958,0.8571,0.8214,0.0357,1,1,0,28,29,6,5
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,gaussian_blur,0.8727,0.8214,0.0513,0.0588,0.8889,0.8214,0.0675,0.8571,0.8214,0.0357,1,0,-1,28,28,5,5
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,downsample_upsample,0.8727,0.9259,-0.0532,-0.061,0.8889,0.9615,-0.0726,0.8571,0.8929,-0.0357,1,2,1,28,26,1,3
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,intensity_scale,0.8727,0.8727,0.0,0.0,0.8889,0.8889,0.0,0.8571,0.8571,0.0,1,1,0,28,27,3,4
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,contrast_inversion,0.8727,0.8727,0.0,0.0,0.8889,0.8889,0.0,0.8571,0.8571,0.0,1,1,0,28,27,3,4
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,clean,0.3268,0.3268,0.0,0.0,0.232,0.232,0.0,0.5526,0.5526,0.0,105,105,0,76,181,139,34
