method,method_label,perturbation,image_id,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,precision_drop,recall_drop,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives,no_prediction,failure_hint
otsu_watershed,Otsu + watershed,gaussian_noise,93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,1.0,0.0,1.0,1.0,1.0,1.0,28,1,29,29,1,False,COLLAPSE
otsu_watershed,Otsu + watershed,gaussian_noise,866a8cba7bfe1ea73e383d6cf492e53752579140c8b833bb56839a55bf79d855,0.7273,0.0045,0.7228,0.9938,0.6644,0.6,433,5,439,438,4,False,FN+FP
otsu_watershed,Otsu + watershed,gaussian_noise,84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,0.6667,0.0,0.6667,1.0,0.5,1.0,63,1,65,65,1,False,COLLAPSE
otsu_watershed,Otsu + watershed,gaussian_noise,3d0ca3498d97edebd28dbc7035eced40baa4af199af09cbb7251792accaa69fe,0.8571,0.2222,0.6349,0.7407,0.8571,0.25,9,4,14,12,2,False,FP/OVER
otsu_watershed,Otsu + watershed,gaussian_noise,8ecdb93582b2d5270457b36651b62776256ade3aaa2d7432ae65c14f07432d49,0.9091,0.3333,0.5758,0.6333,0.75,0.3333,5,6,12,9,3,False,FN+FP
otsu_watershed,Otsu + watershed,gaussian_noise,fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf,0.9091,0.375,0.5341,0.5875,0.5606,0.4,5,5,11,8,2,False,FN+FP
otsu_watershed,Otsu + watershed,gaussian_noise,f26f4c2c70c38fe12e00d5a814d5116691f2ca548908126923fd76ddd665ed24,0.6286,0.1176,0.5109,0.8128,0.5182,0.5,14,52,67,60,45,False,FN+FP
otsu_watershed,Otsu + watershed,gaussian_noise,58c593bcb98386e7fd42a1d34e291db93477624b164e83ab2afa3caa90d1d921,0.5714,0.0645,0.5069,0.8871,0.3655,0.5,24,2,29,28,1,False,FN+FP
otsu_watershed,Otsu + watershed,gaussian_noise,b3a9f4c9035a0df7e033b18c63bfb0f0d87ff5a4d9aa8bdf417159bb733abb80,0.9231,0.4348,0.4883,0.529,0.563,0.1667,10,6,17,12,1,False,FP/OVER
otsu_watershed,Otsu + watershed,gaussian_noise,4327d27591871e9c8d317071a390d1b3dcedad05a9746175b005c41ea0d797b2,0.5974,0.1216,0.4758,0.7964,0.4231,0.4516,71,31,117,108,22,False,FN+FP
otsu_watershed,Otsu + watershed,poisson_noise,93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,1.0,0.0,1.0,1.0,1.0,1.0,2,1,3,3,1,False,COLLAPSE
otsu_watershed,Otsu + watershed,poisson_noise,866a8cba7bfe1ea73e383d6cf492e53752579140c8b833bb56839a55bf79d855,0.7273,0.0,0.7273,1.0,0.6667,0.8,349,5,355,355,5,False,COLLAPSE
otsu_watershed,Otsu + watershed,poisson_noise,84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,0.6667,0.0,0.6667,1.0,0.5,1.0,150,1,152,152,1,False,COLLAPSE
otsu_watershed,Otsu + watershed,poisson_noise,fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf,0.9091,0.4286,0.4805,0.5286,0.5,0.4,3,5,9,6,2,False,FN+FP
