split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives,no_prediction
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,clean,0.6667,0.6667,0.0,0.0,0.7083,0.7083,0.0,0.6296,0.6296,0.0,3,3,0,27,24,7,10,False
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_noise,0.6667,0.5185,0.1481,0.2222,0.7083,0.5185,0.1898,0.6296,0.5185,0.1111,3,0,-3,27,27,13,13,False
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_blur,0.6667,0.7347,-0.068,-0.102,0.7083,0.8182,-0.1098,0.6296,0.6667,-0.037,3,5,2,27,22,4,9,False
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,downsample_upsample,0.6667,0.72,-0.0533,-0.08,0.7083,0.7826,-0.0743,0.6296,0.6667,-0.037,3,4,1,27,23,5,9,False
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,contrast_inversion,0.6667,0.7347,-0.068,-0.102,0.7083,0.8182,-0.1098,0.6296,0.6667,-0.037,3,5,2,27,22,4,9,False
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,clean,0.973,0.973,0.0,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,2,2,0,36,38,2,0,False
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,gaussian_noise,0.973,0.6667,0.3063,0.3148,0.9474,0.5833,0.364,1.0,0.7778,0.2222,2,12,10,36,48,20,8,False
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,gaussian_blur,0.973,0.8831,0.0899,0.0924,0.9474,0.8293,0.1181,1.0,0.9444,0.0556,2,5,3,36,41,7,2,False
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,downsample_upsample,0.973,0.8831,0.0899,0.0924,0.9474,0.8293,0.1181,1.0,0.9444,0.0556,2,5,3,36,41,7,2,False
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,contrast_inversion,0.973,0.973,0.0,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,2,2,0,36,38,2,0,False
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,clean,0.4134,0.4134,0.0,0.0,0.3394,0.3394,0.0,0.5286,0.5286,0.0,39,39,0,70,109,72,33,False
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,gaussian_noise,0.4134,0.4162,-0.0028,-0.0069,0.3394,0.3228,0.0166,0.5286,0.5857,-0.0571,39,57,18,70,127,86,29,False
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,gaussian_blur,0.4134,0.4581,-0.0447,-0.1081,0.3394,0.3761,-0.0367,0.5286,0.5857,-0.0571,39,39,0,70,109,68,29,False
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,downsample_upsample,0.4134,0.4839,-0.0705,-0.1704,0.3394,0.3879,-0.0485,0.5286,0.6429,-0.1143,39,46,7,70,116,71,25,False
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,contrast_inversion,0.4134,0.4,0.0134,0.0324,0.3394,0.3273,0.0122,0.5286,0.5143,0.0143,39,40,1,70,110,74,34,False
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,clean,0.3778,0.3778,0.0,0.0,0.3617,0.3617,0.0,0.3953,0.3953,0.0,8,8,0,86,94,60,52,False
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,gaussian_noise,0.3778,0.3529,0.0248,0.0657,0.3617,0.3267,0.035,0.3953,0.3837,0.0116,8,15,7,86,101,68,53,False
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,gaussian_blur,0.3778,0.3616,0.0162,0.0429,0.3617,0.3516,0.0101,0.3953,0.3721,0.0233,8,5,-3,86,91,59,54,False
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,downsample_upsample,0.3778,0.4229,-0.0451,-0.1193,0.3617,0.4157,-0.054,0.3953,0.4302,-0.0349,8,3,-5,86,89,52,49,False
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,contrast_inversion,0.3778,0.3956,-0.0178,-0.0472,0.3617,0.375,-0.0133,0.3953,0.4186,-0.0233,8,10,2,86,96,60,50,False
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,clean,0.4762,0.4762,0.0,0.0,0.3571,0.3571,0.0,0.7143,0.7143,0.0,7,7,0,7,14,9,2,False
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,gaussian_noise,0.4762,0.1714,0.3048,0.64,0.3571,0.1071,0.25,0.7143,0.4286,0.2857,7,21,14,7,28,25,4,False
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,gaussian_blur,0.4762,0.4348,0.0414,0.087,0.3571,0.3125,0.0446,0.7143,0.7143,0.0,7,9,2,7,16,11,2,False
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,downsample_upsample,0.4762,0.4545,0.0216,0.0455,0.3571,0.3333,0.0238,0.7143,0.7143,0.0,7,8,1,7,15,10,2,False
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,contrast_inversion,0.4762,0.4348,0.0414,0.087,0.3571,0.3125,0.0446,0.7143,0.7143,0.0,7,9,2,7,16,11,2,False
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,clean,0.7879,0.7879,0.0,0.0,0.7647,0.7647,0.0,0.8125,0.8125,0.0,1,1,0,16,17,4,3,False
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,gaussian_noise,0.7879,0.8235,-0.0357,-0.0452,0.7647,0.7778,-0.0131,0.8125,0.875,-0.0625,1,2,1,16,18,4,2,False
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,gaussian_blur,0.7879,0.6875,0.1004,0.1274,0.7647,0.6875,0.0772,0.8125,0.6875,0.125,1,0,-1,16,16,5,5,False
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,downsample_upsample,0.7879,0.75,0.0379,0.0481,0.7647,0.75,0.0147,0.8125,0.75,0.0625,1,0,-1,16,16,4,4,False
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,contrast_inversion,0.7879,0.8235,-0.0357,-0.0452,0.7647,0.7778,-0.0131,0.8125,0.875,-0.0625,1,2,1,16,18,4,2,False
stage1_train_full,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,otsu_watershed,Otsu + watershed,clean,0.7119,0.7119,0.0,0.0,0.75,0.75,0.0,0.6774,0.6774,0.0,6,6,0,62,56,14,20,False
stage1_train_full,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,otsu_watershed,Otsu + watershed,gaussian_noise,0.7119,0.5077,0.2042,0.2868,0.75,0.4853,0.2647,0.6774,0.5323,0.1452,6,6,0,62,68,35,29,False
stage1_train_full,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,otsu_watershed,Otsu + watershed,gaussian_blur,0.7119,0.6341,0.0777,0.1092,0.75,0.6393,0.1107,0.6774,0.629,0.0484,6,1,-5,62,61,22,23,False
stage1_train_full,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,otsu_watershed,Otsu + watershed,downsample_upsample,0.7119,0.6838,0.0281,0.0395,0.75,0.7273,0.0227,0.6774,0.6452,0.0323,6,7,1,62,55,15,22,False
