method,perturbation,images,mean_object_f1,mean_matched_iou,mean_matched_dice,mean_precision,mean_recall,mean_absolute_count_error,mean_missed_object_rate,mean_fp_per_true_instance,mean_count_bias,median_latency_ms,mean_latency_ms,clean_mean_object_f1,absolute_object_f1_drop,relative_object_f1_drop,method_label
otsu_watershed,clean,670,0.5736,0.7813,0.866,0.5349,0.6669,31.3164,0.3331,1.1982,28.2955,8.597,20.9317,0.5736,0.0,0.0,Otsu + watershed
otsu_watershed,gaussian_noise,670,0.4298,0.7031,0.8144,0.3914,0.5301,51.8791,0.4699,2.5665,50.3299,8.6625,21.6386,0.5736,0.1438,0.2507,Otsu + watershed
otsu_watershed,poisson_noise,670,0.4606,0.7241,0.8254,0.421,0.5575,52.1075,0.4425,2.9462,50.7045,12.6865,31.3439,0.5736,0.113,0.197,Otsu + watershed
otsu_watershed,gaussian_blur,670,0.5818,0.7657,0.8557,0.5479,0.664,26.0134,0.336,1.0634,21.8224,8.1045,19.119,0.5736,-0.0082,-0.0143,Otsu + watershed
otsu_watershed,downsample_upsample,670,0.5825,0.7746,0.8623,0.5477,0.6665,27.4134,0.3335,1.0869,23.9299,8.1655,19.4583,0.5736,-0.0089,-0.0155,Otsu + watershed
otsu_watershed,intensity_scale,670,0.5744,0.7814,0.8661,0.5356,0.6675,31.3224,0.3325,1.1954,28.3582,11.095,28.1156,0.5736,-0.0008,-0.0014,Otsu + watershed
otsu_watershed,contrast_inversion,670,0.5653,0.7763,0.8628,0.5265,0.6579,31.5373,0.3421,1.2078,28.4925,7.9405,19.8819,0.5736,0.0083,0.0145,Otsu + watershed
cellpose_cpsam,clean,670,0.9178,0.8615,0.9204,0.9414,0.9012,3.0716,0.0988,0.2058,-1.5224,1727.221,2782.9613,0.9178,0.0,0.0,Cellpose-SAM
cellpose_cpsam,gaussian_noise,670,0.874,0.8354,0.9035,0.9319,0.8316,4.6746,0.1684,0.1984,-3.9612,1725.212,2785.0511,0.9178,0.0438,0.0477,Cellpose-SAM
cellpose_cpsam,poisson_noise,670,0.8806,0.8419,0.9084,0.9368,0.8425,4.903,0.1575,0.1923,-4.0254,2055.8345,3074.179,0.9178,0.0372,0.0405,Cellpose-SAM
cellpose_cpsam,gaussian_blur,670,0.8898,0.843,0.9078,0.9325,0.8589,4.4179,0.1411,0.1997,-3.4,1714.497,2780.5658,0.9178,0.028,0.0305,Cellpose-SAM
cellpose_cpsam,downsample_upsample,670,0.9006,0.8502,0.9121,0.9385,0.8729,4.006,0.1271,0.2022,-2.8239,1708.1415,2775.9071,0.9178,0.0172,0.0187,Cellpose-SAM
cellpose_cpsam,intensity_scale,670,0.9155,0.8624,0.9205,0.9417,0.8964,3.1373,0.1036,0.2058,-1.6896,2074.2345,3072.572,0.9178,0.0023,0.0025,Cellpose-SAM
cellpose_cpsam,contrast_inversion,670,0.9139,0.8637,0.9212,0.9437,0.8911,3.006,0.1089,0.2007,-1.8716,1708.991,2781.7848,0.9178,0.0039,0.0042,Cellpose-SAM
