config_id,sweep_group,image_id,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,precision,recall,true_instances,clean_pred_instances,pred_instances,raw_amg_masks,zero_prediction,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta
box_nms_thresh_0.5,box_nms_thresh,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.9455,0.0,0.9455,1.0,0.0,0.0,27,28,4,29,False,1,23,22
box_nms_thresh_0.5,box_nms_thresh,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.9455,0.0,0.9455,1.0,0.0,0.0,27,28,6,30,False,1,21,20
box_nms_thresh_0.5,box_nms_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_noise,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,3,70,False,3,73,70
box_nms_thresh_0.5,box_nms_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_blur,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,4,72,False,3,72,69
box_nms_thresh_0.5,box_nms_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,downsample_upsample,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,10,72,False,3,66,63
box_nms_thresh_0.5,box_nms_thresh,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,gaussian_blur,0.92,0.0,0.92,1.0,0.0,0.0,24,26,1,25,False,2,23,21
box_nms_thresh_0.5,box_nms_thresh,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,downsample_upsample,0.92,0.0,0.92,1.0,0.0,0.0,24,26,3,26,False,2,21,19
box_nms_thresh_0.5,box_nms_thresh,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,gaussian_blur,0.8519,0.0,0.8519,1.0,0.0,0.0,26,28,1,28,False,2,25,23
crop_n_layers_1,crop_n_layers,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_noise,0.9427,0.0,0.9427,1.0,0.0,0.0,76,81,4,77,False,5,72,67
crop_n_layers_1,crop_n_layers,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_blur,0.9427,0.0,0.9427,1.0,0.0,0.0,76,81,5,77,False,5,71,66
crop_n_layers_1,crop_n_layers,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,downsample_upsample,0.9427,0.0,0.9427,1.0,0.0,0.0,76,81,11,81,False,5,65,60
crop_n_layers_1,crop_n_layers,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.8966,0.0,0.8966,1.0,0.0,0.0,27,31,4,32,False,4,23,19
crop_n_layers_1,crop_n_layers,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,gaussian_blur,0.8889,0.0,0.8889,1.0,0.0,0.0,24,30,1,30,False,6,23,17
crop_n_layers_1,crop_n_layers,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,downsample_upsample,0.8889,0.0,0.8889,1.0,0.0,0.0,24,30,3,33,False,6,21,15
crop_n_layers_1,crop_n_layers,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.8966,0.0588,0.8377,0.9344,0.1429,0.037,27,31,7,32,False,4,20,16
crop_n_layers_1,crop_n_layers,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,gaussian_blur,0.7797,0.0,0.7797,1.0,0.0,0.0,26,33,1,29,False,7,25,18
default_current,default,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.9455,0.0,0.9455,1.0,0.0,0.0,27,28,4,31,False,1,23,22
default_current,default,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.9455,0.0,0.9455,1.0,0.0,0.0,27,28,6,31,False,1,21,20
default_current,default,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_noise,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,3,71,False,3,73,70
default_current,default,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_blur,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,4,72,False,3,72,69
default_current,default,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,downsample_upsample,0.9396,0.0,0.9396,1.0,0.0,0.0,76,73,10,74,False,3,66,63
default_current,default,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,gaussian_blur,0.902,0.0,0.902,1.0,0.0,0.0,24,27,1,28,False,3,23,20
default_current,default,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,downsample_upsample,0.902,0.0,0.902,1.0,0.0,0.0,24,27,3,27,False,3,21,18
default_current,default,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,gaussian_blur,0.8214,0.0,0.8214,1.0,0.0,0.0,26,30,1,28,False,4,25,21
points_per_side_16,points_per_side,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.9434,0.0,0.9434,1.0,0.0,0.0,27,26,5,27,False,1,22,21
points_per_side_16,points_per_side,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.9434,0.0,0.9434,1.0,0.0,0.0,27,26,5,28,False,1,22,21
points_per_side_16,points_per_side,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,downsample_upsample,0.875,0.0,0.875,1.0,0.0,0.0,24,24,3,26,False,0,21,21
points_per_side_16,points_per_side,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,gaussian_blur,0.875,0.0,0.875,1.0,0.0,0.0,24,24,4,25,False,0,20,20
points_per_side_16,points_per_side,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,gaussian_blur,0.8571,0.0,0.8571,1.0,0.0,0.0,22,20,3,20,False,2,19,17
points_per_side_16,points_per_side,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,downsample_upsample,0.8571,0.0,0.8571,1.0,0.0,0.0,22,20,4,19,False,2,18,16
points_per_side_16,points_per_side,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,gaussian_blur,0.8235,0.0,0.8235,1.0,0.0,0.0,26,25,1,25,False,1,25,24
points_per_side_16,points_per_side,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,downsample_upsample,0.8235,0.0,0.8235,1.0,0.0,0.0,26,25,3,25,False,1,23,22
points_per_side_32,points_per_side,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_noise,0.9605,0.0,0.9605,1.0,0.0,0.0,76,76,3,72,False,0,73,73
points_per_side_32,points_per_side,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_blur,0.9605,0.0,0.9605,1.0,0.0,0.0,76,76,5,73,False,0,71,71
points_per_side_32,points_per_side,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,downsample_upsample,0.9605,0.0,0.9605,1.0,0.0,0.0,76,76,12,75,False,0,64,64
points_per_side_32,points_per_side,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,gaussian_blur,0.92,0.0,0.92,1.0,0.0,0.0,24,26,1,29,False,2,23,21
points_per_side_32,points_per_side,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,downsample_upsample,0.92,0.0,0.92,1.0,0.0,0.0,24,26,2,29,False,2,22,20
points_per_side_32,points_per_side,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.8966,0.0,0.8966,1.0,0.0,0.0,27,31,6,30,False,4,21,17
points_per_side_32,points_per_side,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.8966,0.0,0.8966,1.0,0.0,0.0,27,31,7,31,False,4,20,16
points_per_side_32,points_per_side,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,gaussian_blur,0.8519,0.0,0.8519,1.0,0.0,0.0,26,28,1,29,False,2,25,23
stability_score_thresh_0.95,stability_score_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_noise,0.9444,0.0,0.9444,1.0,0.0,0.0,76,68,3,65,False,8,73,65
stability_score_thresh_0.95,stability_score_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,gaussian_blur,0.9444,0.0,0.9444,1.0,0.0,0.0,76,68,4,70,False,8,72,64
stability_score_thresh_0.95,stability_score_thresh,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,downsample_upsample,0.9444,0.0,0.9444,1.0,0.0,0.0,76,68,10,72,False,8,66,58
stability_score_thresh_0.95,stability_score_thresh,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,gaussian_blur,0.9434,0.0,0.9434,1.0,0.0,0.0,27,26,4,27,False,1,23,22
stability_score_thresh_0.95,stability_score_thresh,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,downsample_upsample,0.9434,0.0,0.9434,1.0,0.0,0.0,27,26,6,27,False,1,21,20
stability_score_thresh_0.95,stability_score_thresh,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,gaussian_noise,0.935,0.0,0.935,1.0,0.0,0.0,130,116,1,101,False,14,129,115
stability_score_thresh_0.95,stability_score_thresh,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,gaussian_blur,0.935,0.0,0.935,1.0,0.0,0.0,130,116,9,114,False,14,121,107
stability_score_thresh_0.95,stability_score_thresh,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,downsample_upsample,0.935,0.0,0.935,1.0,0.0,0.0,130,116,9,115,False,14,121,107
