split,model_key,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,yolo11m,c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7/images/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,2158.29,20,19,19,0,1,1.0,0.95,0.9743589743589743,0.9340552176694243,0.9652555668937357,-1,1
val,yolo11m,cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2/images/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,37.094,14,15,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.8811959518595679,0.9361240296001517,1,1
val,yolo11m,cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490/images/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,197.954,250,189,35,154,215,0.18518518518518517,0.14,0.15945330296127563,0.5883162695428864,0.7390207318920492,-61,61
val,yolo11m,cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd/images/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,84.693,112,116,98,18,14,0.8448275862068966,0.875,0.8596491228070176,0.7886142588939472,0.8781260150960662,4,4
val,yolo11m,cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c/images/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,40.503,76,81,64,17,12,0.7901234567901234,0.8421052631578947,0.8152866242038217,0.7822600876675041,0.8744439526691572,5,5
val,yolo11m,cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e/images/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,100.13,135,140,133,7,2,0.95,0.9851851851851852,0.9672727272727272,0.8588258178462326,0.9232307976094577,5,5
val,yolo11m,cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694/images/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,40.591,22,25,22,3,0,0.88,1.0,0.9361702127659575,0.9077807216871235,0.948919012390039,3,3
val,yolo11m,ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc/images/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,36.805,8,8,8,0,0,1.0,1.0,1.0,0.8372263954684411,0.91028958839912,0,0
val,yolo11m,ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f/images/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,40.37,58,58,53,5,5,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.8169785574689229,0.8967300880693005,0,0
val,yolo11m,ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa/images/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,38.411,32,30,27,3,5,0.9,0.84375,0.870967741935484,0.8507103332703359,0.9170066100860322,-2,2
