split,image_id,source_image_path,image_path,label_path,image_height,image_width,true_instances,converted_polygons,dropped_instances,fallback_polygons,min_polygon_points,median_polygon_points,max_polygon_points
train,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552/images/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,results/supervised/yolo_fixed_budget/images/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,results/supervised/yolo_fixed_budget/labels/00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.txt,256,256,27,27,0,0,4,9.0,15
train,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21/images/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,results/supervised/yolo_fixed_budget/images/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,results/supervised/yolo_fixed_budget/labels/0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.txt,256,256,16,16,0,0,4,9.0,11
train,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a/images/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,results/supervised/yolo_fixed_budget/images/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,results/supervised/yolo_fixed_budget/labels/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.txt,360,360,17,17,0,0,4,15.0,20
train,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca/images/06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.png,results/supervised/yolo_fixed_budget/images/06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.png,results/supervised/yolo_fixed_budget/labels/06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.txt,256,256,19,19,0,0,4,9.0,15
train,07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5/images/07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,results/supervised/yolo_fixed_budget/images/07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,results/supervised/yolo_fixed_budget/labels/07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.txt,520,696,313,313,0,0,3,10.0,17
train,0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9/images/0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9.png,results/supervised/yolo_fixed_budget/images/0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9.png,results/supervised/yolo_fixed_budget/labels/0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9.txt,256,256,27,27,0,0,3,10.0,17
train,0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6/images/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,results/supervised/yolo_fixed_budget/images/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,results/supervised/yolo_fixed_budget/labels/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.txt,256,320,29,29,0,0,5,10.0,18
train,0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37/images/0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.png,results/supervised/yolo_fixed_budget/images/0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.png,results/supervised/yolo_fixed_budget/labels/0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.txt,256,320,21,21,0,0,4,16.0,27
train,1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d/images/1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d.png,results/supervised/yolo_fixed_budget/images/1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d.png,results/supervised/yolo_fixed_budget/labels/1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d.txt,360,360,23,23,0,0,5,13.0,25
train,12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e/images/12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e.png,results/supervised/yolo_fixed_budget/images/12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e.png,results/supervised/yolo_fixed_budget/labels/12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e.txt,256,256,78,78,0,0,4,8.0,17
