split,budget,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,full_train_pool,c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7/images/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,1495.305,20,20,20,0,0,1.0,1.0,1.0,0.9236292454548602,0.9594717233037411,0,0
val,full_train_pool,cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2/images/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,14.77,14,15,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.8687136549290806,0.9292049998925017,1,1
val,full_train_pool,cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490/images/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,193.085,250,204,20,184,230,0.09803921568627451,0.08,0.0881057268722467,0.6042379853541345,0.750981682956213,-46,46
val,full_train_pool,cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd/images/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,87.99,112,106,94,12,18,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.7860688015323342,0.8771315990376852,-6,6
val,full_train_pool,cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c/images/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,21.618,76,76,59,17,17,0.7763157894736842,0.7763157894736842,0.7763157894736842,0.7752273064379736,0.8700427345068118,0,0
val,full_train_pool,cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e/images/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,94.015,135,134,133,1,2,0.9925373134328358,0.9851851851851852,0.9888475836431226,0.864011974166251,0.9264602725112596,-1,1
val,full_train_pool,cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694/images/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,17.612,22,26,22,4,0,0.8461538461538461,1.0,0.9166666666666666,0.9044003507159178,0.9470127228711651,4,4
val,full_train_pool,ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc/images/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,13.434,8,8,8,0,0,1.0,1.0,1.0,0.8539468125682208,0.9196466412580909,0,0
val,full_train_pool,ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f/images/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,18.752,58,57,52,5,6,0.9122807017543859,0.896551724137931,0.9043478260869565,0.8114892548042353,0.8931190072322386,-1,1
val,full_train_pool,ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa/images/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,15.148,32,29,27,2,5,0.9310344827586207,0.84375,0.8852459016393444,0.8388917765270717,0.9092564028839732,-3,3
val,full_train_pool,cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a/images/cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,17.189,40,40,39,1,1,0.975,0.975,0.975,0.7979520992946874,0.886062434655465,0,0
val,full_train_pool,cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973/images/cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,16.23,25,26,23,3,2,0.8846153846153846,0.92,0.9019607843137256,0.9019461302543279,0.9460610996601879,1,1
val,full_train_pool,d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f/images/d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,16.442,29,28,25,3,4,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.8803850875576807,0.9330951610915114,-1,1
val,full_train_pool,d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993/images/d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,13.856,9,10,9,1,0,0.9,1.0,0.9473684210526316,0.876564767676368,0.9338865367808677,1,1
val,full_train_pool,d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869/images/d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,14.821,22,25,19,6,3,0.76,0.8636363636363636,0.8085106382978724,0.7914094738588355,0.8801362410149111,3,3
val,full_train_pool,d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0/images/d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,14.861,17,19,10,9,7,0.5263157894736842,0.5882352941176471,0.5555555555555555,0.826965517935335,0.9028325103327216,2,2
val,full_train_pool,d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4/images/d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4.png,results/supervised/yolo_label_budget_diagnostic_train_runs/full_train_pool/weights/best.pt,0.5,0.25,512,18.11,33,42,25,17,8,0.5952380952380952,0.7575757575757576,0.6666666666666667,0.7368074280335705,0.8444602662576473,9,9
