split,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7/images/c9f305be17312bdb9530fb4f1adc6d29730ddbe0e74730cbf031de174bf437b7.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,1585.522,20,24,19,5,1,0.7916666666666666,0.95,0.8636363636363635,0.9287191623673887,0.9619795866814549,4,4
val,cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2/images/cab4875269f44a701c5e58190a1d2f6fcb577ea79d842522dcab20ccb39b7ad2.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,13.388,14,15,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.8783311418138569,0.9347822205268733,1,1
val,cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490/images/cb4df20a83b2f38b394c67f1d9d4aef29f9794d5345da3576318374ec3a11490.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,146.036,250,166,8,158,242,0.04819277108433735,0.032,0.038461538461538464,0.5710960743086269,0.7250666871546944,-84,84
val,cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd/images/cbca32daaae36a872a11da4eaff65d1068ff3f154eedc9d3fc0c214a4e5d32bd.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,80.785,112,168,97,71,15,0.5773809523809523,0.8660714285714286,0.6928571428571428,0.7656477044616529,0.8638239425774173,56,56
val,cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c/images/cbff60361ded0570e5d50429a1aa51d81471819bc9b38359f03cfef76de0038c.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,22.545,76,126,60,66,16,0.47619047619047616,0.7894736842105263,0.594059405940594,0.76478954526846,0.8625674473932264,50,50
val,cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e/images/cc88627344305b9a9b07f8bd042cb074c7a834c13de67ff4b24914ac68f07f6e.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,91.943,135,157,132,25,3,0.8407643312101911,0.9777777777777777,0.904109589041096,0.8564660981794165,0.9221291456853975,22,22
val,cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694/images/cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,15.625,22,31,22,9,0,0.7096774193548387,1.0,0.8301886792452831,0.9288515823659395,0.9620928306711238,9,9
val,ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc/images/ce37f6dd0615d45e66e41a8f2ed6fbc0bbe3103a290394ad474207507710eacc.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,12.636,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8310023402086784,0.9059936482849966,1,1
val,ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f/images/ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,16.452,58,76,51,25,7,0.6710526315789473,0.8793103448275862,0.7611940298507461,0.7940540534328782,0.8821629208705707,18,18
val,ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa/images/ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,14.578,32,37,28,9,4,0.7567567567567568,0.875,0.8115942028985507,0.8239061949960794,0.8998261902446735,5,5
